GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bp-ide-bpjs-debugger,il.ac.bgu.se.bp.execution,RunnerState.State,0,64,0,0,0,7,0,1,0,1
bp-ide-bpjs-debugger,il.ac.bgu.se.bp.execution,BPJsDebuggerImpl,223,635,25,35,54,147,26,39,4,31
bp-ide-bpjs-debugger,il.ac.bgu.se.bp.execution,RunnerState,0,13,0,0,0,6,0,3,0,3
bp-ide-bpjs-debugger,il.ac.bgu.se.bp.debugger.commands,Continue,4,3,0,0,2,1,1,1,1,1
bp-ide-bpjs-debugger,il.ac.bgu.se.bp.debugger.commands,GetState,0,7,0,0,0,3,0,2,0,2
bp-ide-bpjs-debugger,il.ac.bgu.se.bp.debugger.commands,StepOver,4,3,0,0,2,1,1,1,1,1
bp-ide-bpjs-debugger,il.ac.bgu.se.bp.debugger.commands,Stop,0,7,0,0,0,3,0,2,0,2
bp-ide-bpjs-debugger,il.ac.bgu.se.bp.debugger.commands,ToggleMuteBreakpoints,0,12,0,0,0,5,0,2,0,2
bp-ide-bpjs-debugger,il.ac.bgu.se.bp.debugger.commands,SetBreakpoint,0,25,0,2,0,8,0,3,0,2
bp-ide-bpjs-debugger,il.ac.bgu.se.bp.debugger.commands,StepInto,4,3,0,0,2,1,1,1,1,1
bp-ide-bpjs-debugger,il.ac.bgu.se.bp.debugger.commands,StepOut,4,3,0,0,2,1,1,1,1,1
bp-ide-bpjs-debugger,il.ac.bgu.se.bp.debugger.engine,DebuggerEngineImpl,270,61,10,0,66,20,23,4,18,4
bp-ide-bpjs-debugger,il.ac.bgu.se.bp.debugger.engine,SyncSnapshotHolderImpl,43,40,2,2,9,10,3,5,1,5
bp-ide-bpjs-debugger,il.ac.bgu.se.bp.utils,ResponseHelper,3,11,0,0,1,2,1,2,1,2
bp-ide-bpjs-debugger,il.ac.bgu.se.bp.utils,DebuggerStateHelper,492,373,46,22,99,63,34,17,3,14
bp-ide-bpjs-debugger,il.ac.bgu.se.bp.mains,BPJsDebuggerCliRunner,407,0,50,0,99,0,55,0,22,0
