GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bp-ide-bpjs-bp-framework,il.ac.bgu.cs.bp.bpjs.execution,BProgramRunner,169,234,11,15,29,48,21,19,12,15
bp-ide-bpjs-bp-framework,il.ac.bgu.cs.bp.bpjs.internal,ScriptableUtils,77,131,11,23,12,26,14,14,5,6
bp-ide-bpjs-bp-framework,il.ac.bgu.cs.bp.bpjs.internal,Pair,0,83,0,8,0,21,0,11,0,7
bp-ide-bpjs-bp-framework,il.ac.bgu.cs.bp.bpjs.internal,OrderedSet,47,249,8,16,12,56,11,30,5,24
bp-ide-bpjs-bp-framework,il.ac.bgu.cs.bp.bpjs.internal,ExecutorServiceMaker,0,35,0,0,0,7,0,2,0,2
bp-ide-bpjs-bp-framework,il.ac.bgu.cs.bp.bpjs.analysis.eventpattern,EventPatternPart,132,31,27,3,30,7,21,3,6,3
bp-ide-bpjs-bp-framework,il.ac.bgu.cs.bp.bpjs.analysis.eventpattern,EventPattern,168,80,25,5,31,14,20,7,6,6
bp-ide-bpjs-bp-framework,il.ac.bgu.cs.bp.bpjs.exceptions,BPjsCodeEvaluationException,129,52,14,0,19,6,17,2,10,2
bp-ide-bpjs-bp-framework,il.ac.bgu.cs.bp.bpjs.exceptions,BPjsRuntimeException,9,0,0,0,4,0,2,0,2,0
bp-ide-bpjs-bp-framework,il.ac.bgu.cs.bp.bpjs.exceptions,BPjsException,4,5,0,0,2,2,1,1,1,1
bp-ide-bpjs-bp-framework,il.ac.bgu.cs.bp.bpjs.mains,BPJsCliRunner,410,0,26,0,82,0,24,0,11,0
bp-ide-bpjs-bp-framework,il.ac.bgu.cs.bp.bpjs.mains,BPJsCliRunner.new BProgram() {...},177,0,8,0,30,0,7,0,3,0
bp-ide-bpjs-bp-framework,il.ac.bgu.cs.bp.bpjs.model.eventselection,SimpleEventSelectionStrategy,2,120,2,14,0,24,2,16,0,10
